event_id,module(equipment),start_datetime,end_datetime,point_count,duration_seconds,minimum_powerfactor,average_powerfactor,iqr_detected,ewma_detected,if_detected,max_model_agreement
EWMA-000141,15(예비건조기),2024-12-01 19:16:20,2024-12-01 19:16:20,1,5,64.566666,64.566666,1,1,1,3
EWMA-000142,15(예비건조기),2024-12-01 19:19:10,2024-12-01 19:19:10,1,5,68.78,68.78,1,1,1,3
EWMA-000143,15(예비건조기),2024-12-01 19:20:50,2024-12-01 19:20:50,1,5,64.47666,64.47666,1,1,1,3
EWMA-000144,15(예비건조기),2024-12-01 19:39:45,2024-12-01 19:39:45,1,5,65.17333,65.17333,1,1,1,3
EWMA-000145,15(예비건조기),2024-12-01 20:28:50,2024-12-01 20:28:50,1,5,69.85333,69.85333,1,1,0,2
EWMA-000146,15(예비건조기),2024-12-01 20:37:15,2024-12-01 20:37:15,1,5,72.98334,72.98334,0,1,0,1
EWMA-000147,15(예비건조기),2024-12-01 20:37:25,2024-12-01 20:37:25,1,5,65.083336,65.083336,1,1,1,3
EWMA-000148,15(예비건조기),2024-12-01 20:45:35,2024-12-01 20:45:35,1,5,63.97333,63.97333,1,1,1,3
EWMA-000149,15(예비건조기),2024-12-01 20:46:55,2024-12-01 20:46:55,1,5,71.49,71.49,0,1,1,2
EWMA-000150,15(예비건조기),2024-12-01 20:50:05,2024-12-01 20:50:05,1,5,63.25,63.25,1,1,0,2
EWMA-000151,15(예비건조기),2024-12-01 20:52:35,2024-12-01 20:52:35,1,5,67.863335,67.863335,1,1,1,3
EWMA-000152,15(예비건조기),2024-12-01 21:16:05,2024-12-01 21:16:05,1,5,68.01,68.01,1,1,0,2
EWMA-000153,15(예비건조기),2024-12-01 21:19:15,2024-12-01 21:19:15,1,5,72.89333,72.89333,0,1,0,1
EWMA-000154,15(예비건조기),2024-12-01 21:30:15,2024-12-01 21:30:15,1,5,64.86667,64.86667,1,1,1,3
EWMA-000155,15(예비건조기),2024-12-01 21:45:30,2024-12-01 21:45:30,1,5,63.696667,63.696667,1,1,1,3
EWMA-000156,15(예비건조기),2024-12-01 21:49:35,2024-12-01 21:49:35,1,5,64.863335,64.863335,1,1,1,3
EWMA-000157,15(예비건조기),2024-12-01 21:50:50,2024-12-01 21:50:50,1,5,69.746666,69.746666,1,1,0,2
EWMA-000158,15(예비건조기),2024-12-01 21:53:10,2024-12-01 21:53:10,1,5,65.060005,65.060005,1,1,0,2
EWMA-000159,15(예비건조기),2024-12-01 22:14:40,2024-12-01 22:14:40,1,5,63.39,63.39,1,1,1,3
EWMA-000160,15(예비건조기),2024-12-01 22:19:30,2024-12-01 22:19:30,1,5,69.34333,69.34333,1,1,0,2
EWMA-000161,15(예비건조기),2024-12-01 22:20:50,2024-12-01 22:20:50,1,5,69.23333,69.23333,1,1,1,3
EWMA-000162,15(예비건조기),2024-12-01 22:25:15,2024-12-01 22:25:15,1,5,69.46,69.46,1,1,1,3
EWMA-000163,15(예비건조기),2024-12-01 22:34:10,2024-12-01 22:34:10,1,5,61.706665,61.706665,1,1,1,3
EWMA-000164,15(예비건조기),2024-12-01 22:37:20,2024-12-01 22:37:20,1,5,68.49,68.49,1,1,1,3
EWMA-000165,15(예비건조기),2024-12-01 22:40:10,2024-12-01 22:40:10,1,5,66.003334,66.003334,1,1,0,2
EWMA-000166,15(예비건조기),2024-12-01 22:44:50,2024-12-01 22:44:50,1,5,67.03666,67.03666,1,1,1,3
EWMA-000167,15(예비건조기),2024-12-01 22:50:40,2024-12-01 22:50:40,1,5,65.16334,65.16334,1,1,1,3
EWMA-000168,15(예비건조기),2024-12-01 22:57:00,2024-12-01 22:57:00,1,5,70.44,70.44,0,1,1,2
EWMA-000169,15(예비건조기),2024-12-01 23:00:20,2024-12-01 23:00:20,1,5,65.41,65.41,1,1,0,2
EWMA-000170,15(예비건조기),2024-12-01 23:11:35,2024-12-01 23:11:35,1,5,71.986664,71.986664,0,1,1,2
EWMA-000171,15(예비건조기),2024-12-01 23:13:20,2024-12-01 23:13:20,1,5,69.09333,69.09333,1,1,1,3
EWMA-000172,15(예비건조기),2024-12-01 23:15:00,2024-12-01 23:15:00,1,5,66.98334,66.98334,1,1,0,2
EWMA-000173,15(예비건조기),2024-12-01 23:21:15,2024-12-01 23:21:15,1,5,64.90333,64.90333,1,1,1,3
EWMA-000174,15(예비건조기),2024-12-01 23:22:25,2024-12-01 23:22:25,1,5,68.54,68.54,1,1,1,3
EWMA-000175,15(예비건조기),2024-12-01 23:31:25,2024-12-01 23:31:25,1,5,67.63999,67.63999,0,1,0,1
EWMA-000176,15(예비건조기),2024-12-01 23:35:20,2024-12-01 23:35:20,1,5,68.64,68.64,1,1,1,3
EWMA-000177,15(예비건조기),2024-12-01 23:44:50,2024-12-01 23:44:50,1,5,65.76333,65.76333,1,1,1,3
EWMA-000178,15(예비건조기),2024-12-02 00:09:40,2024-12-02 00:09:40,1,5,67.43,67.43,1,1,0,2
EWMA-000179,15(예비건조기),2024-12-02 00:10:30,2024-12-02 00:10:30,1,5,66.96333,66.96333,1,1,1,3
EWMA-000180,15(예비건조기),2024-12-02 00:25:00,2024-12-02 00:25:00,1,5,65.793335,65.793335,1,1,1,3
EWMA-000181,15(예비건조기),2024-12-02 00:29:20,2024-12-02 00:29:20,1,5,67.13,67.13,1,1,1,3
EWMA-000182,15(예비건조기),2024-12-02 00:38:35,2024-12-02 00:38:35,1,5,69.97667,69.97667,1,1,1,3
EWMA-000183,15(예비건조기),2024-12-02 00:46:20,2024-12-02 00:46:20,1,5,66.706665,66.706665,1,1,1,3
EWMA-000184,15(예비건조기),2024-12-02 00:48:20,2024-12-02 00:48:20,1,5,66.34667,66.34667,1,1,0,2
EWMA-000185,15(예비건조기),2024-12-02 00:53:20,2024-12-02 00:53:20,1,5,66.76666,66.76666,1,1,1,3
EWMA-000186,15(예비건조기),2024-12-02 00:58:40,2024-12-02 00:58:40,1,5,72.18,72.18,0,1,0,1
EWMA-000187,15(예비건조기),2024-12-02 01:06:10,2024-12-02 01:06:10,1,5,63.24,63.24,1,1,1,3
EWMA-000188,15(예비건조기),2024-12-02 01:09:45,2024-12-02 01:09:45,1,5,65.14667,65.14667,1,1,1,3
EWMA-000189,15(예비건조기),2024-12-02 01:52:05,2024-12-02 01:52:05,1,5,67.26333,67.26333,1,1,1,3
EWMA-000190,15(예비건조기),2024-12-02 02:01:25,2024-12-02 02:01:25,1,5,67.136665,67.136665,1,1,0,2
